time/iterations,train/learning_rate,train/reward,train/std,train/n_updates,train/policy_loss,time/fps,time/total_timesteps,train/value_loss,train/explained_variance,time/time_elapsed,train/entropy_loss
3000,0.0007,1.8882021,1.0104539394378662,2999,162.2559051513672,100,15000,19.456714630126953,-0.009647011756896973,149,-44.296852111816406
3100,0.0007,-0.39109242,1.0115247964859009,3099,130.56491088867188,100,15500,11.654061317443848,0.0,153,-44.32078552246094
3200,0.0007,-0.89099824,1.0134851932525635,3199,-100.01282501220703,101,16000,30.22305679321289,0.0,158,-44.38542556762695
3300,0.0007,-0.08736962,1.0150232315063477,3299,19.21546173095703,101,16500,3.0677602291107178,-1.1920928955078125e-07,163,-44.428428649902344
3400,0.0007,4.016797,1.0161423683166504,3399,43.7659797668457,101,17000,18.198999404907227,0.0,167,-44.45880889892578
3500,0.0007,-1.2467971,1.016862392425537,3499,295.2972106933594,101,17500,64.50021362304688,0.0,172,-44.48546600341797
3600,0.0007,2.3233988,1.0190705060958862,3599,-238.10205078125,101,18000,38.525352478027344,0.0,177,-44.545318603515625
3700,0.0007,-11.176204,1.0182443857192993,3699,161.97731018066406,101,18500,33.978633880615234,-1.1920928955078125e-07,181,-44.527767181396484
3800,0.0007,3.0585902,1.0204917192459106,3799,-53.34553909301758,101,19000,4.009897708892822,0.0,186,-44.5909309387207
3900,0.0007,2.4875674,1.0223393440246582,3899,90.02555847167969,101,19500,10.410879135131836,1.1920928955078125e-07,191,-44.64687728881836
4000,0.0007,6.202594,1.0225181579589844,3999,-211.38525390625,102,20000,29.553417205810547,-1.1920928955078125e-07,195,-44.65628433227539
4100,0.0007,-0.52414155,1.0226185321807861,4099,-8.196355819702148,102,20500,3.35954213142395,0.0,200,-44.65811538696289
4200,0.0007,-0.7349411,1.025550365447998,4199,-309.9004211425781,102,21000,54.9428596496582,0.0,205,-44.74531555175781
4300,0.0007,8.0723295,1.024559736251831,4299,-243.13333129882812,102,21500,32.30559158325195,-1.1920928955078125e-07,210,-44.71760940551758
4400,0.0007,1.3285937,1.0244296789169312,4399,-191.8902587890625,102,22000,30.799297332763672,-1.1920928955078125e-07,215,-44.7066764831543
4500,0.0007,1.8990778,1.0247929096221924,4499,624.44873046875,102,22500,232.4283447265625,0.0,219,-44.72159957885742
4600,0.0007,6.328255,1.0250179767608643,4599,200.17974853515625,102,23000,30.524816513061523,0.0,224,-44.71910095214844
4700,0.0007,-1.2619885,1.0251346826553345,4699,-211.9696502685547,102,23500,27.84159278869629,5.960464477539063e-08,229,-44.73013687133789
4800,0.0007,-2.1042325,1.0251622200012207,4799,-442.05029296875,102,24000,117.11976623535156,0.0,234,-44.73012924194336
4900,0.0007,2.4089947,1.0238367319107056,4899,-179.451171875,102,24500,23.2087345123291,0.0,238,-44.68672180175781
5000,0.0007,2.6246092,1.0246977806091309,4999,14.357351303100586,102,25000,2.620373487472534,-1.1920928955078125e-07,244,-44.70762252807617
5100,0.0007,0.68500197,1.02644944190979,5099,144.52964782714844,102,25500,22.921220779418945,-1.1920928955078125e-07,248,-44.77341079711914
5200,0.0007,13.112529,1.0251898765563965,5199,-438.3238830566406,102,26000,359.53253173828125,0.0,253,-44.72666549682617
5300,0.0007,-0.56642956,1.0276044607162476,5299,41.118038177490234,102,26500,2.3185489177703857,0.0,257,-44.79896926879883
5400,0.0007,0.8394317,1.028266191482544,5399,-193.27609252929688,102,27000,27.51418685913086,0.0,262,-44.81563186645508
5500,0.0007,3.7992978,1.030773639678955,5499,80.85490417480469,102,27500,40.59735870361328,0.0,267,-44.89164352416992
5600,0.0007,3.1911893,1.0301815271377563,5599,-317.8121032714844,102,28000,72.6624526977539,0.0,272,-44.87493133544922
5700,0.0007,-1.7159873,1.0325994491577148,5699,-164.20590209960938,102,28500,18.8946590423584,0.0,276,-44.952423095703125
5800,0.0007,3.5733562,1.0322747230529785,5799,-43.94248962402344,103,29000,4.6564836502075195,-1.1920928955078125e-07,281,-44.948341369628906
5900,0.0007,-0.8993882,1.0317480564117432,5899,-32.37008285522461,103,29500,0.8085356950759888,1.1920928955078125e-07,286,-44.924583435058594
6000,0.0007,-3.9457533,1.0319708585739136,5999,93.12113952636719,103,30000,7.510781764984131,-1.1920928955078125e-07,290,-44.936058044433594
6100,0.0007,-2.7817788,1.032853603363037,6099,-96.33323669433594,103,30500,9.152324676513672,0.0,295,-44.9660758972168
6200,0.0007,0.21280393,1.0333362817764282,6199,-135.0599822998047,103,31000,10.148344039916992,-1.1920928955078125e-07,300,-44.967342376708984
6300,0.0007,9.315146,1.0320476293563843,6299,579.2132568359375,103,31500,243.8061065673828,0.0,305,-44.935691833496094
6400,0.0007,3.469441,1.0329515933990479,6399,143.78659057617188,103,32000,12.941485404968262,0.0,310,-44.962257385253906
6500,0.0007,-7.1973042,1.0328824520111084,6499,40.02182388305664,103,32500,10.279379844665527,0.0,314,-44.95610809326172
6600,0.0007,-0.35805318,1.0325989723205566,6599,-169.65982055664062,103,33000,26.329463958740234,0.0,319,-44.951637268066406
6700,0.0007,-15.045551,1.0326080322265625,6699,-1401.6300048828125,103,33500,1099.3651123046875,0.0,324,-44.95576477050781
6800,0.0007,1.6266179,1.0339577198028564,6799,-289.49652099609375,103,34000,66.41111755371094,5.960464477539063e-08,329,-44.98521423339844
6900,0.0007,-0.67541856,1.0333914756774902,6899,-529.2728271484375,103,34500,196.0841827392578,0.0,334,-44.976097106933594
