time/fps,time/time_elapsed,train/reward,time/total_timesteps,time/iterations,train/approx_kl,train/learning_rate,train/n_updates,train/entropy_loss,train/value_loss,train/loss,train/policy_gradient_loss,train/explained_variance,train/std,train/clip_range,train/clip_fraction
145,14,0.32865244,2048,1,,,,,,,,,,,
144,28,0.8816995,4096,2,0.014769974,0.00025,10,-41.18292510509491,18.96067444086075,10.775059700012207,-0.017683898244285956,-0.0006946325302124023,1.0022920370101929,0.2,0.211669921875
144,42,-1.1511196,6144,3,0.0140009755,0.00025,20,-41.23380167484284,89.09746549129486,34.615169525146484,-0.017776666753343308,0.0031281709671020508,1.0038014650344849,0.2,0.1599609375
144,56,3.349063,8192,4,0.021262985,0.00025,30,-41.28342506885529,60.50286332368851,29.485544204711914,-0.018594734638463707,0.0008044838905334473,1.005722165107727,0.2,0.18115234375
144,70,2.9439251,10240,5,0.017279152,0.00025,40,-41.32085347175598,31.378210711479188,15.787294387817383,-0.020297868293710053,0.006965994834899902,1.0062295198440552,0.2,0.20595703125
144,84,1.486702,12288,6,0.018712074,0.00025,50,-41.335057091712955,52.293255019187924,34.857547760009766,-0.017080611261189916,0.0091627836227417,1.006698489189148,0.2,0.17216796875
144,99,1.4699476,14336,7,0.023063373,0.00025,60,-41.368531942367554,66.74264575242997,33.308265686035156,-0.015385780049837195,-0.006319403648376465,1.009085774421692,0.2,0.186572265625
143,114,1.6584097,16384,8,0.0209327,0.00025,70,-41.41201348304749,42.23007287979126,18.078920364379883,-0.016252950954367407,-0.026564717292785645,1.0092655420303345,0.2,0.22001953125
143,128,0.5075919,18432,9,0.021155857,0.00025,80,-41.457639288902286,63.14019215106964,26.348073959350586,-0.023586305559729227,0.016125380992889404,1.0123282670974731,0.2,0.25048828125
143,142,1.8553879,20480,10,0.018020298,0.00025,90,-41.512536191940306,93.81689062118531,78.56281280517578,-0.013558556995121762,0.014897167682647705,1.012359619140625,0.2,0.17998046875
143,156,3.4071264,22528,11,0.02270908,0.00025,100,-41.51634657382965,107.6348960161209,42.715850830078125,-0.01774812983785523,0.014322221279144287,1.0131802558898926,0.2,0.2263671875
143,170,-0.3633538,24576,12,0.019099789,0.00025,110,-41.53138108253479,22.55812445282936,8.921875953674316,-0.017468851763987915,-0.144453763961792,1.013682246208191,0.2,0.18671875
143,184,-0.008159538,26624,13,0.027701743,0.00025,120,-41.554655289649965,57.76285517215729,24.027210235595703,-0.013150607893476263,0.048838257789611816,1.0144293308258057,0.2,0.219189453125
144,199,-1.5473524,28672,14,0.015284063,0.00025,130,-41.58105683326721,105.339151096344,38.29387283325195,-0.014019158158043865,0.016390442848205566,1.0161347389221191,0.2,0.165380859375
144,213,5.3418884,30720,15,0.02383186,0.00025,140,-41.62751221656799,40.51486467123031,20.052202224731445,-0.013810906818252987,0.018274307250976562,1.0171399116516113,0.2,0.239892578125
143,227,0.20519608,32768,16,0.026879758,0.00025,150,-41.67801485061646,79.17087475061416,44.780826568603516,-0.01153348156658467,0.014571130275726318,1.0205336809158325,0.2,0.272119140625
144,241,0.3861539,34816,17,0.023908645,0.00025,160,-41.77444112300873,60.644127821922304,29.748138427734375,-0.018531363634974696,0.018446683883666992,1.0233067274093628,0.2,0.249365234375
143,256,0.20933965,36864,18,0.02361742,0.00025,170,-41.826394486427304,75.63927001953125,32.7307243347168,-0.009386522995191627,0.010550200939178467,1.02384352684021,0.2,0.250244140625
142,272,-0.47921404,38912,19,0.019946244,0.00025,180,-41.85534381866455,15.031586581468583,6.305267333984375,-0.013668319390853867,0.023372530937194824,1.0258442163467407,0.2,0.23310546875
142,287,-0.5322132,40960,20,0.028318126,0.00025,190,-41.90884156227112,60.827148127555844,56.74714660644531,-0.011379584546375554,-0.009923577308654785,1.0280070304870605,0.2,0.304541015625
142,301,-10.078617,43008,21,0.03402504,0.00025,200,-41.96984057426452,62.06328817605972,45.60685348510742,-0.013226808951003477,-0.0170743465423584,1.0294502973556519,0.2,0.272265625
142,316,1.6652553,45056,22,0.02620431,0.00025,210,-42.00004267692566,19.287298947572708,9.327670097351074,-0.015452088313759304,-0.018120527267456055,1.0308462381362915,0.2,0.22978515625
142,330,-0.57380486,47104,23,0.023402624,0.00025,220,-42.05200295448303,42.95833438038826,19.265316009521484,-0.016448415120248683,-0.012945055961608887,1.0327155590057373,0.2,0.247998046875
142,345,4.3959417,49152,24,0.039713446,0.00025,230,-42.08315460681915,44.50885146856308,16.41750717163086,-0.006599620083579794,-0.02244126796722412,1.0332473516464233,0.2,0.307861328125
142,359,-1.254249,51200,25,0.029568851,0.00025,240,-42.11564610004425,62.52129107713699,35.754398345947266,-0.012064609097433277,0.008172094821929932,1.0352132320404053,0.2,0.28828125
142,374,1.6765267,53248,26,0.03489015,0.00025,250,-42.188941311836246,35.74370104074478,15.245076179504395,-0.011011279787635431,0.03955894708633423,1.03923499584198,0.2,0.302734375
142,388,-0.7442611,55296,27,0.02516403,0.00025,260,-42.28744511604309,66.16911182403564,48.5702018737793,-0.014778290191316046,0.018743276596069336,1.0413063764572144,0.2,0.231982421875
141,404,-0.64341086,57344,28,0.024533626,0.00025,270,-42.32516326904297,83.53189074993134,32.03643035888672,-0.011498947996005881,0.004494965076446533,1.0420267581939697,0.2,0.259716796875
141,419,-1.494387,59392,29,0.032407545,0.00025,280,-42.34552001953125,13.799960005283356,4.9334235191345215,-0.016036313300719484,0.027936995029449463,1.0430620908737183,0.2,0.322705078125
