train/learning_rate,train/n_updates,time/time_elapsed,time/episodes,time/total_timesteps,time/fps,train/critic_loss,train/reward,train/actor_loss
0.001,8679,158,4,11572,73,163.98764702328504,0.7534411,42.37482625056434
0.001,20251,372,8,23144,62,56.354861498291086,0.7534411,29.199363782362983
0.001,31823,685,12,34716,50,31.934302369739786,0.7534411,25.585017097441487
0.001,43395,967,16,46288,47,25.494200214316102,0.7534411,25.95731233066543
